Word,Category,WordClass,TranslationEng,TranslationEpo,TranslationSpa,Tags,SearchTermsEng,TransNote,LexiliAsel,Hyphenation,Synonyms,Antonyms,slug_mod,OfficialWord,TranslationDeu,TranslationFra,TranslationRus,TranslationZho,TranslationHin,TranslationAra,Etymological support,
akaci,root,b,n: acacia,s: akacio,s: acacia,drevo,,,"Englisa (acacia), Espanisa (acacia), Fransesa (acacia), Rusisa (акация “akatsiya”), Doycisa (Akazie), Portugalsa (acacia), Italisa (acacia), Indonesisa (akasia), Pilipinasa (akasya), Arabisa (أَقَاقِيَا “aqaqiya”), Parsisa (آکاسیا “'âkâsiyâ”), Turkisa (akasya), Koreasa (아카시아 “akaxia”), Niponsa (アカシア “akaxia”)",,,,,FALSE,S: Akazie,n: acacia,сущ: акация,名: 金合欢,"सं: बबूल, कीकर",اسم: أَكَاسْيَا، سَنْط,,
akademi,root,b,n: academy,s: akademio,s: academia,eskolya,,,"Doycisa (Akademie), Englisa (academy), Espanisa (academia), Fransesa (académie), Rusisa (академия “akademiya”), Arabisa (أَكَادِيمِيَّة “ʾakādīmiyya”), Parsisa (آکادمی “âkâdemi”), Turkisa (akademi), Swahilisa (akademia), Hindi (अकादमी “akādmī”), Telugusa (అకాడమీ “akāḍamī”), Indonesisa (akademi), Pilipinasa (akademya), Niponsa (アカデミー “akademī”), Koreasa (아카데미 “akademi”)",,,,,TRUE,S: Akademie,n: académie,сущ: академия,名: 学院,सं: अकादमी,اسم: أَكَادِيمِيَّة,,
akere,root,b,n: acre,s: akreo,s: acre,meterya,,,"Englisa (acre), Espanisa (acre), Fransesa (acre), Rusisa (акр “akr”), Doycisa (Acker), Indonesisa (ekar), Pilipinasa (akre), Hindi (एकड़ “ekar”), Arabisa (آكِر “akir”), Niponsa (エーカー “eka”), Telugusa (ఎకరం “ekaram”), Turkisa (akre), Koreasa (에이커 “eyko”), Swahilisa (ekari)",,,,,TRUE,S: Acre,n: acre,сущ: акр,名: 英亩,सं: एकड़,اسم: أَيْكَر,,
akereje,derived,b,n: acreage,s: akrearo (_nombro_),"s: extensión, superficie",,,,akere + -je,,,,,FALSE,S: Landfläche,n: superficie,сущ: площадь в акрах,名: 英亩数,सं: रकबा,اسم: مِسَاحَة بِالأَيْكَرَات، عَدَد الأَيْكَرَات,,
akiku,root,b,n: agate,s: agato,s: ágata,petra,,,"Indonesisa (akik), Hindi (अकीक “akik”), Arabisa (عقيق “akik”), Parsisa (عقیق “'aqiq”), Turkisa (akik)",,,,,FALSE,S: Achat,n: agate,сущ: агат,名: 玛瑙,"सं: सुलेमानी पत्थर, अकीक",اسم: عَقِيق,,
akiletendon,derived,b,n: Achilles tendon,s: aĥila tendono,s: tendón de Aquiles,jismulogi,,,Akile + tendon,,,,,FALSE,S: Achillessehne,n: tendon d'Achille,сущ: ахиллово сухожилие,名: 跟腱,सं: अकिलीज़ कंडरा,اسم: وَتَر أَخِيل,,
akne,root,b,n: acne,"s: aknohaŭto, akneo",s: acné,medis,,,"Englisa (acne), Espanisa (acné), Fransesa (acné), Rusisa (акне “akne”), Doycisa (Akne), Indonesisa (akne), Pilipinasa (akne), Turkisa (akne), Parsisa (آکنه “akne”)",,,,,TRUE,S: Akne,n: acné,сущ: акне,"名: 痤疮, 青春痘",सं: मुहांसे,اسم: حَبّ الشَّبَاب، عُدّ,,
aknemon,derived,b,"n: pustule, pimple, zit","s: akno, pustulo","s: pústula, grano",medis,,,akne + -mon,,,,,FALSE,"S: Pickel, Pustel","n: bouton, pustule","сущ: прыщ, пустула","名: 痘痘, 粉刺","सं: फुंसी, मुहांसा",اسم: بَثْرَة,,
akonto,root,b,n: account,s: konto,s: cuenta,,,,"Englisa (account), Espanisa (cuenta), Fransesa (compte), Rusisa (аккаунт “akkaunt”), Doycisa (Konto), Indonesisa (akun), Pilipinasa (akawnt, kuwenta), Niponsa (アカウント “akaunto”), Koreasa (어카운트 “okauntu”), Swahilisa (akaunti)",,,,,TRUE,S: Konto,n: compte,"сущ: счёт, аккаунт","名: 账户, 账号",सं: खाता,اسم: حِسَاب,,
akorde,root,b,n: chord (_music_),s: akordo (_muziko_),s: acorde,musika,,,"Englisa (chord), Espanisa (acorde), Fransesa (accord), Rusisa (аккорд “akkord”), Doycisa (Akkord), Pilipinasa (akorde), Swahilisa (kordi), Parsisa (آکورد “âkord”), Turkisa (akor, akort)",,,,,FALSE,S: Akkord (_Musik_),n: accord (_musique_),сущ: аккорд,名: 和弦,सं: कॉर्ड,اسم: تَآلُف (_مُوسِيقَى_),,
akordyon,root,b,n: accordion,s: akordiono,s: acordeón,musikatul,,,"Englisa (accordion), Espanisa (acordeón), Fransesa (accordéon), Rusisa (аккордеон “akkordeon”), Doycisa (Akkordeon), Indonesisa (akordeon), Pilipinasa (akordeon, kurdiyon), Hindi (अकॉर्डियन “akordiyan”), Tamilsa (அக்கார்டியன் “akardian”), Arabisa (أَكُورْدِيُون “akurdiyun”), Swahilisa (kodiana), Parsisa (آکاردئون “âkârde'on”), Turkisa (akordiyon), Koreasa (아코디언 “akodion”), Niponsa (アコーデオン “akodeon”), Vyetnamsa (ắc-coóc-đê-ông)",,,,,FALSE,"S: Akkordeon, Ziehharmonika",n: accordéon,сущ: аккордеон,名: 手风琴,सं: अकॉर्डियन,اسم: أَكُورْدِيُون,,
