code,Delete?,glb,eng,epo,deu,fra,rus,spa,zho,nld,fry,por
Natlang stats,FALSE,,,,,,,,,,,
natlangs title,FALSE,,Etymological Stats,Etimologiaj Statistikoj,,,,Estadísticas Etimológicas,,,,
natlangs intro,FALSE,,,,,,,,,,,
natlangs language view title,FALSE,,%1$s,%1$s,,,,%1$s,,,,
natlangs language view intro,FALSE,,,,,,,,,,,
Tools,FALSE,,,,,,,,,,,
homonym terminator title,FALSE,,Find homonyms,Serĉado de homonimoj,,Recherche d’homonymes,,Busqueda de homónimos,,,,
homonym terminator description,FALSE,,Find identical word pairs that would be generated with the introduction of candidate root word.,Trovu parojn de samformaj vortoj kiuj ekzistus per la aldono de nova kandidata radiko.,,Détecte des paires de mots identiques qui seraient créées en introduisant une nouvelle racine potentielle.,,Encuentre pares de palabras idénticas que se generarían al aprobar la palabra raíz candidata. ,,,,
homonym terminator new placeholder,FALSE,,Enter candidate word,Entajpu kandidatan vorton,,Saisir le mot potentiel,,Introducir palabra candidata,,,,
homonym terminator new button,FALSE,,Find pairs,Trovi parojn,,Trouver les paires,,Encontrar pares,,,,
homonym terminator conflicting msg,FALSE,,conflicting words:,konfliktaj vortoj:,,mots en conflit :,,Palabras en conflicto:,,,,
homonym terminator none found,FALSE,,No potential homonyms detected,Neniu ebla homonimo detektita,,Aucun homonyme potentiel détecté,,No se detectó ningún posible homónimo.,,,,
homonym terminator word exists title,FALSE,,Already exists,Jam ekzistanta.,,Déjà existant.,,Ya existe,,,,
homonym terminator word exists,FALSE,,The word %1$s already exists.,La vorto %1$s jam ekzistas.,,Le mot %1$s existe déjà.,,La palabra %1$s ya existe.,,,,
minimum pair title,FALSE,,Find minimal pairs,Serĉado de minimumaj paroj,,Recherche de paires minimales,,Busqueda de pares mínimos,,,,
minimum pair description,FALSE,,Find words that are too similar to candidate root word.,Trovu vortojn kiuj estas tro similaj al kandidata radiko.,,Détecte des monts qui sont trop proches de la nouvelle racine potentielle.,,Encuentre palabras que sean demasiado similares a la palabra raíz candidata. ,,,,
minimum pair new placeholder,FALSE,,Enter candidate word,Entajpu kandidatan vorton,,Saisir le mot potentiel,,Introducir palabra candidata,,,,
minimum pair new button,FALSE,,"Generate pairs
",Generi parojn,,Trouver les paires.,,Generar pares,,,,
minimum pair result diff,FALSE,,Pairs with a difference of %1$s letter(s):,Paroj kun malsameco de %1$s litero(j):,,Paires avec une différence de %1$s lettre(s) :,,Pares con una diferencia de %1$s letra(s):,,,,
candidate check title,FALSE,,Candidate Word Check,Kontrolo de kandidata vorto,,Vérification du mot potentiel,,Probar palabra candidata,,,,
candidate check placeholder,FALSE,,Candidate Word,Kandidata vorto,,Mot potentiel,,Palabra candidata,,,,
candidate check button,FALSE,,Check,Kontroli,,Vérifier,,Probar ,,,,
candidate check description,FALSE,,Check for homonyms or minimal pairs.,Kontrolado pri homonimoj aŭ minimumaj paroj,,Vérification d’homonymes et de paires minimales.,,Prueba de posibles homónimos o pares mínimos.,,,,
none found,FALSE,,None found,Neniu trovita,,Rien trouvé,,Ninguno ,,,,
translation aide title,FALSE,,Translation Aide,Tradukohelpilo,,Aide à la traduction,,Asistente de traducción,,,,
translation aide description,FALSE,,Experimental translation aide. Enter Globasa text and this tool will look up each word. Good for getting the translation for each word in an entire sentence or paragraph at once.,Eksperimenta traduka helpilo. Entajpu tekston en Globasa lingvo kaj la ilo serĉos ĉiujn vortojn. Bona ilo por tuj ekhavi tradukon de ĉiuj vortoj en frazo aŭ paragrafo en unu fojo. ,,En phase expérimentale. Saisissez un texte en globasa et cet outil recherchera les traductions de chaque mot. C’est un bon moyen d’avoir toutes les traductions au sein d’une phrase ou d’un paragraphe en une seule fois.,,Asistente de traducción experimental. Introduzca el texto en Globasa y esta herramienta buscará cada palabra. La herramienta sirve para obtener la traducción de cada palabra en una oración o párrafo completo a la vez. ,,,,
translation aide translate button,FALSE,,Get translations,Ekhavi tradukojn,,Obtenir les traductions,,Obtener traducciones,,,,
ipa converter title,FALSE,,IPA Converter,Konvertilo al IFA,,,,Convertidor de AFI,,,,
ipa converter description,FALSE,,Convert Globasa text into IPA for text-to-speech applications.,Konvertu Globasan tekston al IFA por teksto-al-parolaj aplikoj.,,,,Convierta texto en Globasa en AFI para aplicaciones de texto a voz.,,,,
ipa converter instructions,FALSE,,Enter the Globasa text below and click convert for IPA:,,,,,,,,,
ipa converter input placeholder,FALSE,,Enter Globasa text here.,,,,,,,,,
ipa converter button,FALSE,,Convert to IPA,,,,,,,,,
ipa converter-ssml button,FALSE,,Convert to SSML,,,,,,,,,
ipa converter output label,FALSE,,Text in IPA:,,,,,,,,,
ipa converter ipa placeholder,FALSE,,IPA transliteration will appear here.,,,,,,,,,
Search view,FALSE,,,,,,,,,,,
search result title,FALSE,,Search Results,Serĉorezultoj,,Résultats de recherche,,Resultados de busqueda,,,,
no matches found,FALSE,,No words match your search.,Neniu vorto kongruis kun via serĉo.,,Aucun mot ne correspond à votre recherche.,,Ninguna palabra coincide con su búsqueda. ,,,,
index view,FALSE,,,,,,,,,,,
Feedback View,FALSE,,,,,,,,,,,
feedback title,FALSE,,Feedback / Report,Reteja atentigo,,Commentaires,,Comentario / Reporte,,,,
email?,FALSE,,Your email:,Via retpoŝtadreso:,,Votre mél :,,Su dirección de correo electrónico,,,,
subject?,FALSE,,Subject:,Temo:,,Sujet :,,Asunto,,,,
message?,FALSE,,Your message:,Via mesaĝo:,,Votre courriel :,,Mensaje,,,,
feedback send button,FALSE,,Send,Sendi,,Envoyer,,Enviar,,,,
feedback site error,FALSE,,Website tech error,Teknologia eraro,,Erreur sur le site internet,,Error de tecnología,,,,
feedback lang sug,FALSE,,Website content error,Enhava eraro,,Suggestion linguistique,,Error de contenido,,,,
feedback other,FALSE,,Other / not sure,Alia / ne certa,,Autre / incertain,,Otro ,,,,
Alphabetical Dictionary View,FALSE,,,,,,,,,,,
browse title,FALSE,Abeceli Menalari,Alphabetical Dictionary,Alfabeta Vortaro,,,,Diccionario alfabético,,,,
browse filters header,FALSE,Filtro,Filters,Filtroj,,,,Filtros,,,,
browse filter by letter header,FALSE,,First letter,Unua litero,,,,Primera letra,,,,
browse filter by class header,FALSE,,Word class,,,,,,,,,
browse filter by category header,FALSE,,Entry Category,Era Kategorio,,,,Categoría de entrada,,,,
Linguistic terms,FALSE,,,,,,,,,,,
affix,FALSE,,affix,afikso,,,,afijo,,,,
affixes,FALSE,,affixes,,,,,,,,,
root,FALSE,,root word,radiko,,,,palabra raíz,,,,
roots,FALSE,,roots,,,,,,,,,
proper noun,FALSE,,proper word,propra vorto,,,,palabra propia,,,,
proper word,FALSE,,proper word,propra vorto,,,,palabra propia,,,,
proper nouns,FALSE,,proper nouns,,,,,,,,,
phrase,FALSE,,phrase,frazero,,,,frase,,,,
phrases,FALSE,,phrases,,,,,,,,,
derived word,FALSE,,derived word,kunmetaĵo,,,,palabra derivada,,,,
derived words,FALSE,,derived,,,,,,,,,
category all,FALSE,,all,ĉiuj,,,,todas,,,,
letter all,FALSE,,all,ĉiuj,,,,todas,,,,
Word Classes,FALSE,,,,,,,,,,,
Content Words,FALSE,Content Words,,,,,,,,,,
f,FALSE,falelexi (f) - verb (v),,,,,,,,,,
f.lin,FALSE,linkuli falelexi (f.lin) - copula (v.cop),,,,,,,,,,
ojetoli falelexi (f.oj) - transitive verb (v.tr),FALSE,ojetoli falelexi (f.oj) - transitive verb (v.tr),,,,,,,,,,
nenojetoli falelexi (f.nenoj) - intransitive verb (v.intr),FALSE,nenojetoli falelexi (f.nenoj) - intransitive verb (v.intr),,,,,,,,,,
oroojetoli falelexi (f.oro) - ambitransitive verb (v.ambi),FALSE,oroojetoli falelexi (f.oro) - ambitransitive verb (v.ambi),,,,,,,,,,
aksyonli orofalelexi (f.oro.a) - agentive ambitransitive verb (v.ambi.a),FALSE,aksyonli orofalelexi (f.oro.a) - agentive ambitransitive verb (v.ambi.a),,,,,,,,,,
beaksyonli orofalelexi (f.oro.b) - patientive ambitransitive verb (v.ambi.p),FALSE,beaksyonli orofalelexi (f.oro.b) - patientive ambitransitive verb (v.ambi.p),,,,,,,,,,
sahayli falelexi (f.sah) - auxiliary verb (v.aux),FALSE,sahayli falelexi (f.sah) - auxiliary verb (v.aux),,,,,,,,,,
manerlexi (m) - adverb (adv),FALSE,manerlexi (m) - adverb (adv),,,,,,,,,,
namelexi (n) - noun (n),FALSE,namelexi (n) - noun (n),,,,,,,,,,
pornamelexi (pn) - pronoun (pron),FALSE,pornamelexi (pn) - pronoun (pron),,,,,,,,,,
suyali pornamelexi (su pn) - possessive pronoun (poss pron),FALSE,suyali pornamelexi (su pn) - possessive pronoun (poss pron),,,,,,,,,,
suli namelexi (su n) - proper noun (prop n),FALSE,suli namelexi (su n) - proper noun (prop n),,,,,,,,,,
sifalexi (s) - adjective (adj),FALSE,sifalexi (s) - adjective (adj),,,,,,,,,,
suyali sifalexi (su s) - possessive adjective (poss adj),FALSE,suyali sifalexi (su s) - possessive adjective (poss adj),,,,,,,,,,
tosifulexi (t) - adjective/adverb (adj/adv),FALSE,tosifulexi (t) - adjective/adverb (adj/adv),,,,,,,,,,
Function Words,FALSE,Function Words,,,,,,,,,,
dingyalexi (d) - determiner (det),FALSE,dingyalexi (d) - determiner (det),,,,,,,,,,
intrelogalexi (il) - interjection (interj),FALSE,intrelogalexi (il) - interjection (interj),,,,,,,,,,
linkulexi (l) - conjunction (conj),FALSE,linkulexi (l) - conjunction (conj),,,,,,,,,,
numer (num) - number (num),FALSE,numer (num) - number (num),,,,,,,,,,
partikul (par) - particle (part),FALSE,partikul (par) - particle (part),,,,,,,,,,
plasilexi (p) - adposition (adp),FALSE,plasilexi (p) - adposition (adp),,,,,,,,,,
lefeplasilexi (lp) - preposition (prep),FALSE,lefeplasilexi (lp) - preposition (prep),,,,,,,,,,
xafeplasilexi (xp) - postposition (postp),FALSE,xafeplasilexi (xp) - postposition (postp),,,,,,,,,,
Affixes,FALSE,Affixes,,,,,,,,,,
