Word	Category	WordClass	TranslationEng	SearchTermsEng	StatusEng	TranslationEpo	TranslationSpa	TranslationDeu	Synonyms	Antonyms	Example	Tags	LexiliAsel	LexiliEstatus	TranslationFra	TranslationRus	TranslationZho
aligator	root	n	alligator			aligatoro	aligator						Englisa (alligator), Espanisa (aligátor), Fransesa (alligator), Rusisa (аллигатор “aligator”), Doycisa (Alligator), Indonesisa (alligator), Pilipinasa (aligeytor), Arabisa (قَاطُور “katur”), Niponsa (アリゲーター “arigeta”), Tamilsa (அலிகேட்டர் “aliketar”), Turkisa (alligator), Hangusa (앨리게이터 “eligeito”), Swahilisa (aligatori, aligeita)				
alim	root	n/f.oro.a	_**n**_  instruction, teaching; _**v.ambi.a**_ teach, instruct		reviewed	instruo; instrui	instrucción, enseñanza; enseñar, instruir					eskolya	Arabisa (علم “alim”), Parsisa (معلم “moalem”), Hindisa (तालीम “talim”), Swahilisa (elimu, mwalimu), Turkisa (talimat)	leferesmi			
aljebra	root	n	_**n**_ algebra			algebro	álgebra						Englisa (algebra), Espanisa (álgebra), Fransesa (algèbre), Rusisa (алгебра), Doycisa (Algebra), Indonesisa (aljabar), Pilipinasa (alhebra), Arabisa (عِلْم الْجَبْر “ilm aljabr”, جَبْر “jabr”), Turkisa (cebir), Parsisa (جبر “jabr”), Swahilisa (aljebra)				
alkali	root	n	alkali			alkalo	álcali						Englisa (alkali), Espanisa (álcali), Fransesa (alcali), Doycisa (Alkali), Indonesisa (alkali), Pilipinasa (alkali), Arabisa (قَلَوِيّ “kalawiy”), Niponsa (アルカリ “arukari”), Turkisa (alkali), Hangusa (알칼리 “alkali”), Parsisa (قلیا “kaliya”), Swahilisa (alkali)				
alkimi	root	n	_**n**_ alchemy			alĥemio, alkemio	alquimia						Doycisa (Alchemie), Englisa (alchemy), Espanisa (alquimia), Fransesa (alchimie), Rusisa (алхимия (alhimiya), Hindisa (कीमिया “kimiya”), Arabisa (كيمياء “kimiya”), Parsisa (کیمیا “kimiya”), Indonesisa (alkimia), Pilipinasa (alkimiya), Turkisa (alşimi)				
alkohol	root	n/f.oro.b	_**n**_ alcohol; _**v.ambi.p**_ alcoholize		reviewed	alkoholo; alkoholi	alcohol						Arabisa (كحول “kahul”), Doycisa (Alkohol), Englisa (alcohol), Espanisa (alcohol), Fransesa (alcool), Rusisa (алкоголь “alkogol”), Niponsa (アルコール “arukōru”), Hangusa (알코올 “alkool”), Hindisa (ऐल्कोहॉल “elkohol”), Parsisa (الکل “alkol”), Turkisa (alkol), Indonesisa (alkohol), Pilipinasa (alkohol)	leferesmi			
almasi	root	n	_**n**_ diamond		reviewed	diamanto	diamante						Rusisa (алмаз “almaz”), Arabisa (ألماس “ʾalmās”), Swahilisa (almasi), Parsisa (الماس “almâs”), Turkisa (elmas)	leferesmi			
alo	root	t; d	_**adj/adv, det**_ other, another, different [see [Correlatives](https://www.xwexi.globasa.net/eng/gramati/tabellexi)]		reviewed	alia, malsama, diferenca, ali-	otro, diferente						Englisa (allo-, alternative), Fransesa (allo-, alternatif), Doycisa (alternativ), Rusisa (альтернативный “alternativniy”), Espanisa (alo-, alternativo), Turkisa (alternatif), Indonesisa (altêrnatif), Pilipinasa (alternatibo)	leferesmi			
aloe	root	n	_**n**_ aloe (vera)			aloo (vera)	áloe, sábila						Englisa (aloe), Espanisa, Fransesa (aloès), Rusisa (алоэ “aloe”), Doycisa (Aloe), Indonesisa (aloe), Hindisa (एलो “elo”, अलो “alo”), Niponsa アロエ (aroe), Hangusa (알로에 “aloe”), Parsisa (الوا / آلوا “alva”)				
aloy	root	n	alloy			alojo	aleación; alear						Englisa (alloy), Indonesisa (aloi), Swahilisa (aloi); Espanisa (aleacíon), Fransesa (alliage), Turkisa (alaşım), Parsisa (آلیاژ “alyaj”)				
