Word	Category	WordClass	TranslationEng	SearchTermsEng	StatusEng	TranslationEpo	TranslationSpa	TranslationDeu	Synonyms	Antonyms	Example	Tags	LexiliAsel	LexiliEstatus	TranslationFra	TranslationRus	TranslationZho
satu	root	n	_**n**_  hour, time		reviewed	horo	hora						Arabisa (ساعة “saea”), Turkisa (saat), Parsisa (ساعت “saat”), Indonesisa (saat), Swahilisa (saa)	leferesmi			
Sawdi	root	n	_**n**_  Saudi Arabia		reviewed	Sauda Arabio, Sauda Arabujo	Arabia Saudita					dexa	Arabisa (السعودية “as-Saʿūdīyah”)	leferesmi			
sawna	root	n	_**n**_ sauna			saŭno	sauna					dom	Swomisa (sauna), Englisa, Espanisa, Fransesa, Doycisa, Indonesisa, Pilipinasa, Turkisa, Swahalisa, Rusisa (сауна “sawna”), Putunhwa (桑拿 “sangna”), Hindisa (सॉना “sona”), Arabisa (سَاوْنَا “sawna”), Niponsa (サウナ “sauna”), Hangusa (사우나 “sauna”), Parsisa (سونا “sona”)				
sawsa	root	n	_**n**_ sauce, salsa		reviewed	saŭco	salsa						Doycisa (Soße, Sauce), Englisa (sauce), Espanisa (salsa), Fransesa (sauce), Rusisa (соус “sous”), Niponsa (ソース “sōsu”), Hangusa (소스 “soseu”), Hindisa (सॉस “sŏs”), Arabisa (صلصة “salsa”), Indonesisa (saus), Parsisa (سس “sos”), Pilipinasa (sarsa, sawsawan), Putunhwa (沙司 “shāsī”), Turkisa (sos, salça), Vyetnamsa (xốt)	leferesmi			
saye	root	n	_**n**_  shadow		reviewed	ombro	sombra						Hindisa (साया “saaya”), Parsisa (سایه “saye”)	leferesmi			
sayfa	root	n	_**n**_  page		reviewed	paĝo	página						Arabisa (صفحة “safha”), Turkisa (sayfa), Parsisa (صفحه “safhe”), Hindisa (सफहा “safha”)	leferesmi			
saypan	root	n/f.oro.b	trial, (court) case, hearing; stand trial (be tried), try (put on trial)		reviewed	proceso, juĝado, juĝfarado, juĝokunsido 	juicio, caso, audencia						Putunhwa (裁判 “cáipàn”), Hangusa (재판 “jaepan”), Niponsa (裁判 “saiban”)	leferesmi			
sayso	root	n/f.oro.a	_**n/v.ambi.a**_ guess		reviewed	supozo, konjekto; supozi, konjekti	suposición; adivinar, suponer						Putunhwa (猜测 “cāicè”), Niponsa (推測 “suisoku”)	leferesmi			
se	root	pn	_**pron**_ _reflexive pronoun_, myself, yourself, herself, himself, itself, themselves, ourselves, yourselves		reviewed	si, sin (sed ne nur por la tria persono)	se (_pronombre reflexivo_)						Englisa (self), Fransesa (se), Doycisa (selbst), Espanisa (se)	leferesmi			
seba	root	n	_**n**_  reason (_cause or purpose_)		reviewed	kialo, kaŭzo, motivo	razón (_causa o propósito_)						Arabisa (سبب “sabab”), Parsisa (سبب “sabab”), Turkisa (sebep), Indonesisa (sebab), Swahilisa (sababu), Hindisa (सबब “sabab”)	leferesmi			
sefide	root	t	_**adj/adv**_  white		reviewed	blanka; blanke	blanco					kolor	Hindisa (सफेद “saphed”), Parsisa (سفید “sefid”)	leferesmi			
seha	root	t	_**adj/adv**_  healthy, healthily		reviewed	sana; sane	saludable, sano						Arabisa (صحة “siha” - health), Indonesisa (sehat), Hindisa (सेहत “sehat” - health), Turkisa (sıhhat)	leferesmi			
sekretari	root	n	_**n**_ secretary			sekretario, sekretariino	secretario						Englisa (secretary), Espanisa (secretario), Fransesa (secrétaire), Rusisa (секретарь), Doycisa (Sekretär), Indonesisa (sekretaris), Pilipinasa (sekretarya), Hindisa (सेक्रेटरी “sekretri”), Arabisa (سِكْرِتِير “sekreter”), Turkisa (sekreter), Parsisa (سکرتر “sekreter”)				
seksi	root	t	_**adj/adv**_ sexy			seksalloga, erotika, volupta	sexy, sexi						Englisa (sexy), Doycisa (sexy), Espanisa (sexy), Rusisa (секси “seksi”), Indonesisa (seksi), Pilipinasa, Turkisa, Putunhwa (色情 “sèqíng”), Hindisa (सेक्सी “seksī”), Arabisa (سِيكْسِي‎ “seksī”), Niponsa (セクシー “sekushī”), Telugusa (సెక్సీ “seksī”), Hangusa (섹시 “seksi”), Parsisa (سکسی‎ “seksi”)				
sekso	root	n/f.oro.a	sex, sexual intercourse; have sex (with)		reviewed	seksumo	sexo, acto sexual, relaciones sexuales						Englisa (sex), Fransesa (sexe), Doycisa (Sex), Rusisa (секс “seks”), Espanisa (sexo), Hindisa (सेक्स “seks”), Arabisa (سِيكْس “siks”), Indonesisa (seks), Niponsa (セックス “sekusu”), Turkisa (seks), Hangusa (섹스 “seksu”), Parsisa (سکس “seks”)	leferesmi			
sekundo	root	n	_**n**_  second		reviewed	sekundo	segundo						Englisa, Doycisa, Fransesa, Espanisa, Rusisa, Swahilisa (sekunde), Hindisa (सेकंड “sekand”)	leferesmi			
sela	root		flood, deluge, inundation; inundate			inundo; inundi							Hindisa (सैलाब "selab", सैल "sel"), Arabisa (سَيْل "sayl"), Turkisa (sel), Parsisa (سیلاب "seylâb", سیل "seyl"), Rusisa (сель "sel")				
selenyum	root	n	_**n**_ selenium			seleno	selenio					kimikali monlari	Englisa (selenium), Espanisa (selenio), Arabisa (سِلِينْيُوم “silinyum”), Fransesa (sélénium), Rusisa (селен “selen”), Indonesisa (selenium), Doycisa (Selen), Niponsa (セレン “seren”), Telugusa (సెలీనియం “seliniyam”), Turkisa (selenyum), Hangusa (셀렌 “selen”, 셀레늄 “selenyum”), Vyetnamsa (selen), Parsisa (سلنیوم “selenyom”), Swahilisa (seleni), Pilipinasa (selenyo)				
seleri	root	n	celery			celerio						yamxey	Englisa (celery), Fransesa (céleri), Rusisa (сельдерей "selderey"), Doycisa (Sellerie), Indonesisa (seledri, saderi, seladeri), Niponsa (セロリ "serori"), Hangusa ("셀러리 "sellori")				
seleti	root	n/f.oro.a	_**n**_  choice, selection, election; _**v.ambi.a**_ choose, select, elect, pick		reviewed	elekto, selekto; elekti, selekti	elección; elegir, seleccionar						Englisa (selection), Fransesa (sélection), Doycisa (Selektion), Rusisa (селективный “selektivnyy”), Espanisa (selección, selectivo), Indonesisa (seleksi)	leferesmi			
selsyus	root	n	celsius, centigrade			celsia grado, grado de Celsio	Celsius	Celsius					Englisa (celsius, centigrade), Espanisa (Celsius), Fransesa (Celsius), Rusisa (Цельсий “Tselsiy”), Doycisa (Celsius), Putunhwa (摄氏 “xexi”), Hindisa (सेल्सियस “selsiyas”), Magribili Arabisa (سيلسيوس “silsuys”), Niponsa (セルシウス “seruxiusu”), Telugusa (సెల్సియస్ “selsiyas”), Turkisa (santigrat), Hangusa (셀시우스 “selxiusu”), Vyetnamsa (độ Celsius), Parsisa (سلسیوس “selsyus”), Swahilisa (selsiasi)		Celsius	Цельсий	摄氏
semi	root	t	_**adj/adv**_  semi-, partly, sort of, -ish; half-, part 		reviewed	parta, -eca; parte, -ece; duon-, iom	semi-, en cierto modo, medio						Englisa (semi-), Fransesa (semi-), Espanisa (semi-), Doycisa (semi-), Rusisa (семи- “semi-”)	leferesmi			
sempay	root	t	_**adj/adv**_ narrow		reviewed	mallarĝa; mallarĝe							Indonesisa (sempit), Niponsa (狭い “semai”)	leferesmi			
sen	root	n/f.lin	_**n/v.cop**_ be, am, is, are		reviewed	esto; esti	ser, estar						Doycisa (sein, sind), Espanisa (ser, son), Fransesa (sont), Italisa (sono, sei)	leferesmi			
senato	root	n	senate			senato	senado						Englisa (senate), Espanisa (senado), Fransesa (sénat), Rusisa (сенат "senat"), Doycisa (Senat), Portugalsa (senado), Italisa (senato), Indonesisa (senat), Pilipinasa (senado), Hindisa (सीनेट "sinet"), Turkisa (senato), Parsisa (سنا "senâ"), Swahilisa (seneti)				
Senegal	root	n	_**n**_  Senegal		reviewed	Senegalo, Senegalio	Senegal					dexa	Fransesa (Sénégal)	leferesmi			
sentay	root	n	moss			musko	musgo, briófita						Putunhwa (蘚苔 “xyentay”), Niponsa (蘚苔 “sentay”)				
senyor	root	n	_**n**_  gentleman, lady, sir, mam, Mr., Mrs.		reviewed	sinjoro, sinjorino	señor, señora						Englisa (senior), Fransesa (sieur), Espanisa (señor, señora), Italisa (signor, signora)	leferesmi			
Serbi	root	n	_**n**_ Serbia		reviewed	Serbio, Serbujo	Serbia					dexa	Serbisa (Србија “Srbija”)	leferesmi			
serotonin	root	n	_**n**_ serotonin			serotonino	serotonina					medis	Englisa (serotonin), Doycisa, Indonesisa, Turkisa, Pilipinasa, Vyetnamsa, Espanisa (serotonina), Fransesa (sérotonine), Rusisa (серотонин “serotonin”), Arabisa (سيروتونين “sirutunin”), Hindisa (सीरोटोनिन “sīrōṭōnina”), Niponsa (セロトニン “serotonin”), Hangusa (세로토닌 “serotonin”), Telugusa (సెరోటోనిన్ “serōṭōnin”), Parsisa (سروتونین)				
serum	root	n	serum			sero	suero						Englisa (serum), Espanisa (suero), Fransesa (sérum), Doycisa (Serum), Indonesisa (serum), Pilipinasa (suwero), Hindisa (सीरम "siram"), Turkisa (serum), Parsisa (سرم "serom")				
servi	root	n/f.oro.a	_**n**_  service; _**v.ambi.a**_ serve		reviewed	servo; servi	servicio; servir						Englisa (serve, serving, service), Fransesa (servir, service), Espanisa (servir, servicio), Polskasa (serwis), Hindisa (सर्विस “sarvis”, सेवा “sevā”), Indonesisa (servis), Niponsa (サービス “sābisu”), Hangusa (서비스 “seobiseu”), Telugu (సేవ “sēva”), Pilipinasa (serbisyo), Parsisa (سرویس “servis”)	leferesmi	service; servir		
serye	root	n	_**n**_ series, sequence			serio	serie						Doycisa (Serie), Englisa (series), Espanisa (serie), Fransesa (série), Rusisa (серия “serya”), Turkisa (seri), Indonesisa (seri), Pilipinasa (serye)		série		
sesam	root	n	sesame			sezamo	sésamo	Sesam				yamxey	Englisa (sesame), Espanisa (sésamo), Fransesa (sésame), Rusisa (сезам "sezam"), Doycisa (Sesam), Indonesisa (sesam), Arabisa (سِمْسِم "simsim"), Turkisa (susam), Parsisa (سمسم "semsem"), Swahilisa (simsim)				
setin	root	n/f.oj	setting, adjustment; set, adjust			agordo; agordi	posición, ajuste, configuración; poner, ajustar, configurar						Englisa (setting, set), Pilipinasa (setting), Putunhwa, (設定 “sheding”), Niponsa (設定 “setchi”, 設定 “seitei), Hindisa (सेटिंग “seting”)				
sewdo	root	t	_**adj/adv**_  fake		reviewed	falsa, imita; false, imite	falso, fingido						Englisa (pseudo-), Doycisa (pseudo-), Fransesa (pseudo-), Espanisa (seudo-), Rusisa (псевдоним “psevdonim” - sewdoname), Turkisa (psödonim - sewdoname)	leferesmi			
Seycel	root	n	_**n**_ Seychelles		reviewed	Sejŝeloj	Seychelles					dexa	Englisa (Seychelles), Fransesa (Seychelles), Seycelsa (Sesel)	leferesmi			
seza	root	n/f.oj	_**n**_  punishment; _**v.tr**_ punish		reviewed	puno; puni	castigo; castigar						Arabisa (جَزَاء “jaza”), Hindisa (सज़ा “saza”), Parsisa (سزا “seza”), Turkisa (ceza)	leferesmi			
si	root	m	_**adv**_ yes		reviewed	jes	sí					intrelogalexi	Putunhwa  (是 “shì”), Espanisa (sí), Fransesa (si)	leferesmi			
siborgyum	root	n	_**n**_ seaborgium			siborgio	seaborgio					kimikali monlari	Englisa (seaborgium), Putunhwa (𨭎 “xi”), Hindisa (सीबोर्गियम “siborgiyam”), Espanisa (seaborgio), Arabisa (سِيبُورْجِيُوم “siborgiyum”), Fransesa (seaborgium), Rusisa (сиборгий “siborgiy”), Indonesisa (seaborgium), Doycisa (Seaborgium), Niponsa (シーボーギウム “xibogiumu”), Telugusa (సీబర్గియం “sibargiyam”), Turkisa (seaborgiyum), Hangusa (시보귬 “xibogyum”), Vyetnamsa (seaborgi), Parsisa (سیبورگیم “siborgiyom”), Swahilisa (seaborgi), Pilipinasa (seaborgyo)				
sicunki	root	n	_**n**_ puberty			puberteco, puberto	pubertad						Putunhwa (思春期 “sicunci”), Niponsa (思春期 “xixunki”), Hangusa (사춘기 “sacungi”)				
side	root	n/f.oro.a	_**n/v.ambi.a**_ sit, be sitting, seat		reviewed	sidloko; sidi	sentarse, sentar						Englisa (sit, seat), Doycisa (sitzen), Rusisa (сидеть “sidet”), Italisa (sedere, sede), Hindisa (सीट “sit”), Niponsa (シート “xito”), Hangusa (시트 “situ”)	leferesmi			
sifa	root	n	_**n**_  characteristic, feature, quality, attribute [_**compare with**_: [kwalita](/eng/lexi/kwalita)]		reviewed	eco	característica, cualidad						Arabisa (صفة “sifat”), Swahilisa (sifa), Indonesisa (sifat), Turkisa (sıfat), Parsisa (صفت “sefat”), Hindisa (सिफ़त “sifat”)	leferesmi			
sigaro	root	n	_**n**_  cigar		reviewed	cigaro	cigarro						Englisa (cigar), Fransesa (cigare), Doycisa (Zigarre), Rusisa (сигара “sigara”), Espanisa (cigarro), Hindisa (सिगार “sigar”), Telugusa (సిగార్ “sigar”), Parsisa (سیگار “sigar”), Pilipinasa (sigarilyo), Indonesisa (sigaret), Arabisa (سيجار “sijar”), Turkisa (sigara), Vyetnamsa (xì-gà), Swahilisa (sigara)	leferesmi			
siko	root	n	_**n**_  mind		reviewed	menso	mente						Englisa (psycho-, psychology), Fransesa (psychologie), Doycisa (Psychologie), Rusisa (психология “psihologiya”), Espanisa (psicología), Turkisa (psikoloji), Indonesisa (psikologi), Pilipinasa (sikolohiya), Swahilisa (saikolojia)	leferesmi			
silikon	root	n	_**n**_ silicon			silicio	silicio					kimikali monlari	Englisa (silicon), Espanisa (silicio), Arabisa (سِلِيكُون “silikon”), Fransesa (silicium), Rusisa (силиций “silitsiy”), Indonesisa (silikon), Doycisa (Silizium), Niponsa (シリコン “xirikon”), Telugusa (సిలికాన్ “silikan”), Turkisa (silisyum), Hangusa (실리콘 “xilikon”), Vyetnamsa (silic), Parsisa (سیلیسیم “silisyom”), Swahilisa (silikoni), Pilipinasa (silikon)				
silsila	root	n	_**n**_ chain			ĉeno, kateno	cadena						Hindisa (सिलसिला “silsila”), Arabisa (سِلْسِلَة “silsila”), Turkisa (silsile), Parsisa (سلسله “selsele”)				
sim	root	t	_**adj/adv**_  similar, alike, like		reviewed	simila; simile	parecido, similar						Englisa (similar, seem), Fransesa (similaire), Espanisa (similar, similitud), Italisa (simile)	leferesmi			
simbolo	root	n	_**n**_ symbol			simbolo	símbolo						Englisa (symbol), Doycisa, Espanisa (símbolo), Fransesa (symbole), Rusisa (символ “simvol”), Indonesisa (simbol), Pilipinasa (simbolo), Turkisa (sembol), Parsisa (سمبل “sambol”)				
simensu	root	n	siemens			simenso	siemens	Siemens					Englisa (siemens), Espanisa (siemens), Fransesa (siemens), Rusisa (сименс “simens”), Doycisa (Siemens), Indonesisa (siemens), Pilipinasa (siemens), Putunhwa (西门子 “ximendzi”), Hindisa (साइमन्स “semans”), Arabisa (سيمنز “siminz”), Niponsa (ジーメンス “jimensu”), Turkisa (siemens), Hangusa (지멘스 “jimensu”), Vyetnamsa (siemens), Parsisa (زیمنس “zimens”)		siemens	сименс	西门子
simpati	root	n	_**n**_ sympathy, compassion, pity			simpatio, kompato	compasión, piedad, simpatía						Englisa (sympathy), Fransesa (sympathie), Doycisa, Espanisa (simpatía), Hindisa (सहानुभूति “sahanubhuti”), Telugusa (సానుభూతి “sānubhuti”), Turkisa (sempati), Indonesisa (simpati), Pilipinasa (simpatiya)				
simula	root	n/f.oj	_**n**_  simulation; _**v.tr**_ simulate		reviewed	simulado; simuli	simulación; simular						Englisa (simulation, simulate), Doycisa (Simulation), Fransesa (simulaiton), Espanisa (simulación, simular), Rusisa (симуля́ция “simuljácija”), Indonesisa (simulasi), Pilipinasa (simulasyon), Niponsa (シミュレーション “shimyurēshon”, シミュレート “shimurēto”)	leferesmi			
sindan	root	n	_**n**_ anvil			amboso	yunque						Arabisa (سِنْدَان “sindan”), Parsisa (سندان “sendan”)				
Sindi	root	n	Sindh (_province in Pakistan_)			Sindo	Sind						Sindisa (سنڌ “sind”, سنڌي “sindi”)				
sindrom	root	n	_**n**_ syndrome			sindromo, simptomaro	síndrome					medis	Englisa (syndrome), Fransesa, Espanisa (síndrome), Rusisa (синдром “sindrom”), Doycisa (Syndrom), Indonesisa (sindom), Pilipinasa, Arabisa (سِنْدُرُم‎ “sindurum”), Niponsa (シンドローム “xindoromu”), Telugusa (సిండ్రోమ్ “sindrom”), Turkisa (sendrom), Parsisa (سندرم “sandrom”)				
sinfoni	root	n	_**n**_ symphony			simfonio	sinfonía						Doycisa (Sinfonie, Symphonie), Englisa (sinfonía), Espanisa (sinfonía), Fransesa (symphonie), Rusisa (симфония “simfoniya”), Arabisa (سِيمْفُونِيَّة “sīmfūniyya”), Parsisa (سمفونی “semfuni, simfuni”), Turkisa (senfoni), Swahilisa, Indonesisa (simfoni), Pilipinasa, Telugusa, Niponsa, Hangusa				
singa	root	n	lion, _Panthera leo_		reviewed	leono	león					hewan	Hindisa (सिंह “sinh”), Indonesisa (singa), Telugusa (సింహం “sinham”), Swahilisa (simba)	leferesmi			
Singapura	root	n	_**n**_ Singapore		reviewed	Singapuro	Singapur					dexa	Malaysisa (Singapura)	leferesmi			
Sinhala	root	t	Sinhalese, Singhalese			sinhala	cingalés						Sinhalasa (සිංහල “sinhala”)	leferesmi			
sinjabu	root	n	squirrel, _Sciuridae_		reviewed	sciuro	ardilla					hewan	Arabisa (سنجاب “sinjāb”), Parsisa (سنجاب “sanjâb”), Turkisa (sincap)	leferesmi			
sintesis	root	n/f.oj	synthesis; synthesize			sintezo; sintezi	síntesis; sintetizar						Englisa (synthesis), Espanisa (síntesis), Fransesa (synthèse), Rusisa (синтез “sintez”), Doycisa (Synthese), Indonesisa (sintesis), Pilipinasa (sintesis), Turkisa (sentez, sentetik), Parsisa (سنتز “santez”)				
sintoma	root	n	_**n**_ symptom			simptomo	síntoma					medis	Doycisa (Symptom), Englisa (symptom), Espanisa (síntoma), Fransesa (symptôme), Rusisa (симптом “simptom”), Turkisa (semptom), Pilipinasa (sintomas), Parsisa (سَمپتوم “samptōm”)				
siri	root	n	_**n**_  secret		reviewed	sekreto	secreto						Arabisa (سِرّ “sirr”), Hindisa (सेर “ser”), Indonesisa (sir), Parsisa (سر “serr”), Turkisa (sır), Swahilisa (siri)	leferesmi			
sisa	root	num	_**num**_ six		reviewed	ses	seis						Englisa (six), Fransesa (six), Doycisa (sechs), Espanisa (seis), Swahilisa (sita)	leferesmi			
sistema	root	n	_**n**_  system		reviewed	sistemo	sistema						Englisa (system, systematic), Fransesa (système, systématique), Doycisa (System, systematisch), Rusisa (система "sistema"), Espanisa (sistema), Indonesisa (sistem, sistematis), Pilipinasa (sistema), Hindisa (सिस्टम "sistam"), Turkisa (sistema), Parsisa (سیستم "sistem", سیستماتیک "sistemátik"), Niponsa (システム "sisutemu")	leferesmi			
sitafel	root	n	_**n**_ soursop, custard apple, guanabana, annona			graviolo, sukerpomo, anono	guanábana					fruta, yamxey	Hindisa (सीताफल “sitafal”), Arabisa (قشطة صدفية), Telugusa (చక్కెర సీతాఫలం “cakera sitafalam”), Swahilisa (stafeli)				
siu	root	n/f.oro.a	_**n/v.ambi.a**_ sew		reviewed	kudrado; kudri	coser						Englisa (sew), Rusisa (шить “šitʹ”), Hindisa (सीना “sīnā”, सिलना “silnā”)	leferesmi			
sivertu	root	n	sievert			siverto	sievert	Sievert					Englisa (sievert), Espanisa (sievert), Fransesa (sievert), Rusisa (зиверт “zivert”), Doycisa (Sievert), Indonesisa (sievert), Pilipinasa (sievert), Putunhwa (希沃特 “xiwote”), Hindisa (सीवर्ट “sivart”), Arabisa (زيفرت “zifirt”), Niponsa (シーベルト “xibaruto”), Turkisa (sievert), Hangusa (시버트 “xibotu”), Vyetnamsa (sievert), Parsisa (سیورت “sivert”)		sievert	зиверт	希沃特
soba	root	n	_**n**_  morning		reviewed	mateno	mañana (_hora del día_)						Arabisa (صباح “sabah”), Hindisa (सुबह “subah”), Parsisa (صباح “sobh”), Swahilisa (asubuhi), Turkisa (sabah)	leferesmi			
soberen	root	t	_**adj/adv**_  sovereign		reviewed	suverena; suverene	soberano						Englisa (sovereign), Fransesa (souverain), Doycisa (souverän), Rusisa (суверенный “suvereniy”), Espanisa (soberano), Pilipinasa (soberano)	leferesmi			
soda	root	n	_**n**_ soda, pop, carbonated drink			sodo, kolao, sukertrinkaĵo	refresco, soda, gaseosa						Englisa (soda), Espanisa, Fransesa, Doycisa, Indonesisa. Pilipinasa, Swahilisa, Rusisa (сода “soda”), Putunhwa (苏打 “suda”), Hindisa (सोडा “soda”), Arabisa (صُودَا‎ “soda”), Niponsa (ソーダ “soda”), Hangusa (소다 “soda”), Hangusa (소다 “soda”), Vyetnamsa (xô-đa “soda”), Parsisa (سودا “soda”)				
sodar	root	n	_**n**_  sibling, brother, sister		reviewed	frato; fratino	hermano, hermana					famil	Indonesisa (saudara), Sinhalasa (සහෝදරයා “sahōdar-”), Telugusa (సోదర- “sōdar-” of సోదరి “sōdari”, సోదరుడు “sōdaruḍu”)	leferesmi			
sodyum	root	n	_**n**_ sodium			natrio	sodio					kimikali monlari	Englisa (sodium), Hindisa (सोडियम “sodiyam”), Espanisa (sodio), Arabisa (صُودْيُوم “sodyum”), Fransesa (sodium), Telugusa (సోడియమ్ “sodiyam”), Turkisa (sodyum), Hangusa (소듐 “sodyum”), Parsisa (سدیم “sodiyom”), Swahilisa (sodiamu), Pilipinasa (sodyo, sodyum)				
sofa	root	n	_**n**_  sofa, couch		reviewed	sofo, kanapo, divano, sofolito	sofá						Englisa (sofa), Fransesa, Doycisa, Espanisa, Rusisa (софа “sofa”), Hindisa (सोफ़ा “sofā”), Telugusa (సోఫా “sōphā”), Indonesisa (sofa), Pilipinasa (sopa), Niponsa (ソファ “sofa”), Hangusa (소파 “sopa”), Vyetnamsa (xô-pha)	leferesmi			
sofi	root	n	_**n**_  wisdom		reviewed	saĝo, saĝeco	sabiduría						Englisa (philosophy), Doycisa (Philosophie), Fransesa (philosophie), Espanisa (filosofía), Rusisa (философия “filosofiya”), Pilipinasa (pilosopiya), Indonesisa (filsafat), Turkisa (felsefe), Parsisa (فلسفه “falsafe”), Arabisa (فَلْسَفَة “falsafa”), Hindisa (फ़लसफ़ा “falasfa”), Swahilisa (falsafa)	leferesmi			
soho	root	t	_**adj/adv**_  reciprocal, reciprocally, each other		reviewed	reciproka; reciproke	recíproco, uno al otro						Putunhwa (相互 “xiānghù”), Hangusa (상호 “sangho”), Niponsa (相互 “sōgo”)	leferesmi			
sokitan	root	n	_**n**_ coal			karbo	carbón (_mineral_)						Putunhwa (石炭 “xitan”), Niponsa (石炭 “sekitan”), Hangusa (석탄 “soktan”)				
soksu	root	n	_**n**_ sock			ŝtrumpeto	calcetín, media	Socke(n), Strumpf, Strümpfe				labas	Englisa (socks), Fransesa (socquette), Rusisa (носок “nosok”), Doycisa (Socke), Niponsa (ソックス “sokusu”), Telugusa (సాక్స్ “saks”, సాక్సులు “saksulu”), Swahilisa (soksi)				
sokutu	root	n/f.oro.b	_**n**_ fall, drop; _**v.ambi.p**_ fall, drop		reviewed	falo; fali, faligi	caída; caer, dejar caer						Arabisa (سقوط “sukut”), Parsisa (سقوط “sokut”), Turkisa (sukut)	leferesmi			
sol	root	m	_**adv**_ only, merely, just, a mere	only, merely, just, a mere, mere	reviewed	nur	solo, solamente, simple, mero						Am oko _solo_.	leferesmi			
Sola	root	n	_**n**_  Sol, Sun (_in our planetary system_)		reviewed	Suno (_en nia planeda sistemo_)	sol						Englisa (solar, sun), Swerisa (sol), Espanisa (sol), Fransesa (soleil), Rusisa (солнце “solntse”)	leferesmi			
solo	root	t	_**adj/adv**_  alone, (the) sole, (the) only		reviewed	sola; sole	solo, único						Englisa (sole, solo), Fransesa (seul, solo), Espanisa (solo)	leferesmi			
Somali	root	n	_**n**_  Somalia		reviewed	Somalio, Somalujo	Somalia					dexa	Somali (Soomaaliya)	leferesmi			
somno	root	n/f.nenoj	_**n/v.intr**_ sleep		reviewed	dormo; dormi	sueño; dormir						Englisa (insomnia), Fransesa (insomnie, sommeil), Portugalsa (sono), Espanisa (sueño, insomnio), Rusisa (сон “son”), Swerisa (sömn), Niponsa (睡眠 “suimin”)	leferesmi			
somu	root	n	_**n**_ garlic		reviewed	ajlo	ajo						Arabisa (ثوم “ṯūm”, “tawm”, “tom”), Swahilisa (saumu)	leferesmi			
sonxi	root	n/f.oj	_**n**_  loss; _**v.tr**_ lose (_opp of ewreka_)		reviewed	perdo, maltrovo; perdi, maltrovi	pérdida; perder			ewreka			Putunhwa  (损失 “sǔnshī”), Hangusa (손실 “sonsil”), Niponsa (損失 “sonshitsu”)	leferesmi			
sonzay	root	n/f.nenoj	_**n**_  existence; _**v.intr**_ exist		reviewed	ekzisto; ekzisti	existencia; existir						Niponsa (存在 “sonzai”), Putunhwa  (存在 “cúnzài”), Vyetnamsa (tồn tại)	leferesmi			
soseji	root	n	_**n**_ sausage			kolbaso	salchicha					yamxey	Englisa (sausage), Espanisa (salchicha), Fransesa (saucisse), Rusisa (сосиска “sosiska”), Indonesisa (sosis), Hindisa (सॉसेज “sosej”), Niponsa (ソーセージ “soseji”), Telugusa (సాసేజ్ “sasej”), Turkisa (sosis), Hangusa (소시지 “sosiji”), Vyetnamsa (xúc xích), Parsisa (سوسیس “sosis”), Swahilisa (soseji)				
sosyal	root	t	_**adj/adv**_  social, socially		reviewed	socia; socie	social						Englisa (social), Doycisa (sozial), Fransesa (social), Espanisa (social), Rusisa (социальный “sotsialniy”), Turkisa (sosyal), Indonesisa (sosial), Pilipinasa (sosyal), Parsisa (سوسیال “sosyâl”)	leferesmi			
soti	root	n/f.oro.b	sound		reviewed	sono	sonido; sonar						Arabisa (صوت “sawt”), Parsisa (صوت “sot”), Swahilisa (sauti), Hangusa (소리 “sori”), Espanisa (sonido)	leferesmi			
Sovyeti	root	t	_**adj/adv**_ Soviet			soveta; sovete	soviético						Rusisa (советский “sovyetskiy”, совет “sovyet”)				
soxo	root	n	_**n**_ statue			statuo	estatua						Putunhwa (塑像 “sùxiàng”), Niponsa (塑像 “sozō”)				
soya	root	n	soy, soybean, soya bean			sojfabo	soya, soja					yamxey	Kagoximali Niponsa (醤油 “soi”), Doycisa (Soja), Englisa (soy), Espanisa (soya), Fransesa (soja), Rusisa (соя “soya”), Arabisa (صويا “suya”), Parsisa (سویا “suya”), Swahilisa (soya), Hindisa (सोया “soya”), Telugusa (సోయా “soya”)				
soyo	root	n/f.oro.a	_**n/v.ambi.a**_ itch 		reviewed	juko; juki	picazón; picar						Putunhwa (瘙痒 “sàoyǎng”), Niponsa (搔痒 “soyo”)	leferesmi			
su	root	par	_**part**_ _marks the genitive case_		reviewed	-a (por pronomoj), -ies (por korelativoj) (esprimas posedon)	_marca el caso genitivo_						Espanisa (su), Englisa (-‘s, whose)	leferesmi			
Sudan	root	n	_**n**_  Sudan		reviewed	Sudano	Sudán					dexa	Arabisa (السودان‎ as-Sūdān)	leferesmi			
sude	root	n	_**n**_  south		reviewed	sudo	sur						Englisa (south), Fransesa (sud), Doycisa (Süden), Espanisa (sud, sur)	leferesmi			
Sudeafrika	root	n	_**n**_  South Africa		reviewed	Sud-Afriko	Sudáfrica					dexa	Afrikansesa (Suid-Afrika)	leferesmi			
Sudesudan	root	n	_**n**_ South Sudan		reviewed	Sud-Sudano, Suda Sudano	Sudán del Sur					dexa	Swahilisa (Sudan Kusini), Englisa (South Sudan)	leferesmi			
sudino	root	n	_**n**_ needle			nadlo	aguja						Hindisa (सुई “sui”), Telugusa (సూది “sudi”), Parsisa (سوزن “suzan”), Swahilisa (sindano)				
suferi	root	n/f.oro.a	_**n**_ suffering; _**v.ambi.a**_ suffer (from)		reviewed	suferado; suferi (de)	sufrimiento; sufrir (de)						Englisa (suffer, siffering), Fransesa (souffrir), Espanisa (sufrir)	leferesmi			
