Word,Category,WordClass,OfficialWord,TranslationEng,SearchTermsEng,StatusEng,TranslationEpo,TranslationSpa,TranslationDeu,Synonyms,Antonyms,Example,Tags,LexiliAsel,LexiliEstatus,TranslationFra,TranslationRus,TranslationZho
akonto,root,n,TRUE,account,,,konto,cuenta,Konto,,,,,"Englisa (account), Espanisa (cuenta), Fransesa (compte), Rusisa (аккаунт “akkaunt”), Doycisa (Konto), Indonesisa (akun), Pilipinasa (akawnt, kuwenta), Niponsa (アカウント “akaunto”), Hangusa (어카운트 “okauntu”), Swahilisa (akaunti)",,,,
akran,root,n,TRUE,"scorpion, _Scorpiones_",,,skorpio,"escorpión, _Scorpiones_",,,,,hewan,"Espanisa (alacrán), Pilipinasa (alakdan), Hindisa अकरब (akrab), Arabisa (عَقْرَب “akrab”), Turkisa (akrep), Parsisa (عقرب “akrab”)",,,,
akrobati,root,n,TRUE,acrobatics,,,akrobatado,acrobacia,,,,,,"Englisa (acrobatics), Espanisa (acrobacia), Fransesa (acrobatie), Rusisa (акробатика “akrobatika”), Doycisa (Akrobatik), Indonesisa (akrobatik), Pilipinasa (akrobatika), Turkisa (akrobasi), Parsisa (آکروباتیک “âkrobâtik”)",,,,
akse,root,n,TRUE,axis,,,akso,eje,,,,,,"Englisa (axis), Espanisa (eje), Fransesa (axe), Rusisa (ось “os”), Doycisa (Achse), Italisa (asse), Pilipinasa (axis, ehe), Hindisa (अक्ष “akx”), Telugusa (అక్షము “akxamu”), Turkisa (eksen), Parsisa (آسه “ase”)",,,,
aksento,root,n,TRUE,accent (_sociolinguistics_),,,akĉento,acento (_sociolingüística_),Akzent (Aussprache),,,,,"Englisa (accent), Espanisa (acento), Fransesa (acento), Rusisa (акцент “akcent”), Doycisa (Akzent), Indonesisa (aksen), Turkisa (aksan), Parsisa (اکسنت “aksent”)",,,,
aksyon,root,n/f.nenoj,TRUE,"action, activity; act, take action, behave",,reviewed,ago; agi,"acción, actividad; actuar",,,,,,"Englisa (action), Pilipinasa (aksyon), Indonesisa (reaksi), Doycisa (Aktion), Rusisa (реакция “reaksia”), Espanisa (acción), Turkisa (reaksiyon)",leferesmi,,,
akxu,root,n,TRUE,vice (_moral_),,,malvirto,vicio,,,,,,"Putunhwa (恶习 ""exi""), Niponsa (悪習 ""akuxu""), Hangusa (악습 ""aksup"")",,,,
albatros,root,n,TRUE,albatross,,,"albatroso, diomedeo","albatros, alcatraz, _Diomedeidae_",,,,,,"Englisa (albatross), Espanisa (albatros), Fransesa (albatros), Rusisa (альбатрос “albatros”), Doycisa (Albatros), Indonesisa, Pilipinasa, Niponsa (アルバトロス “arubatorosu”), Telugusa (ఆల్బట్రాస్ “albatras”), Parsisa (آلباتروس “albatros”), Swahilisa (albatrosi)",,,,
alegori,root,n,TRUE,allegory,,,alegorio,alegoría,,,,,,"Englisa (allegory), Espanisa (alegoría), Fransesa (allégorie), Rusisa (аллегория ""allegoriya""), Doycisa (Allegorie), Indonesisa (alegori), Pilipinasa (alegoriya), Niponsa (アレゴリー ""aregori""), Turkisa (alegori), Hangusa (알레고리 ""allegori"")",,,,
alergi,root,n,TRUE,allergy,,reviewed,alergio,alergia,,,,,medis,"Englisa (allergy), Fransesa (allergie), Doycisa (Allergie), Rusisa (аллергия “alergiya”), Espanisa (alergia), Hindisa (एलर्जी “elarjī”), Turkisa (alerji), Indonesisa (alergi), Pilipinasa (alerdyi), Arabisa (أَرَجِيَّة “ʾarajiyya”), Parsisa (آلرژی “âlerži”), Niponsa (アレルギー “arerugī”), Hangusa (알레르기 “allereugi”)",leferesmi,,,
alga,root,n,TRUE,"alga, algae",,,algo(j),alga,,,,,,"Englisa (alga), Espanisa (alga), Fransesa (alg), Doycisa (Alge), Indonesisa (alga), Turkisa (alg), Parsisa (آلگ “alg”), Swahilisa (alga)",,,,
algoritma,root,n,TRUE,algorithm,,,algoritmo,algoritmo,,,,,,"Englisa (algorithm), Espanisa (algoritmo), Fransesa (algorithme), Rusisa (алгоритм “algoritm”), Doycisa (Algorithmus), Indonesisa (algoritme), Pilipinasa (algoritmo), Hindisa (अल्गोरिद्म “algoridma”), Arabisa (خُوَارِزْمِيَّة “huwarizmiya”), Niponsa (アルゴリズム “arugorizumu”), Telugusa (అల్గోరిథం “algoritam”), Hangusa (알고리즘 “algorijum”), Turkisa (algoritma), Parsisa (الگوریتم “algoritm”), Swahilisa (algorithimu)",,,,
aligator,root,n,TRUE,alligator,,,aligatoro,"aligátor, caimán, yacaré, _Alligator_",,,,,,"Englisa (alligator), Espanisa (aligátor), Fransesa (alligator), Rusisa (аллигатор “aligator”), Doycisa (Alligator), Indonesisa (alligator), Pilipinasa (aligeytor), Arabisa (قَاطُور “katur”), Niponsa (アリゲーター “arigeta”), Tamilsa (அலிகேட்டர் “aliketar”), Turkisa (alligator), Hangusa (앨리게이터 “eligeito”), Swahilisa (aligatori, aligeita)",,,,
alim,root,n/f.oro.a,TRUE,"instruction, teaching; teach, instruct",,reviewed,instruo; instrui,"instrucción, enseñanza; enseñar, instruir",,,,,eskolya,"Arabisa (علم “alim”), Parsisa (معلم “moalem”), Hindisa (तालीम “talim”), Swahilisa (elimu, mwalimu), Turkisa (talimat)",leferesmi,,,
aljebra,root,n,TRUE,algebra,,,algebro,álgebra,,,,,,"Englisa (algebra), Espanisa (álgebra), Fransesa (algèbre), Rusisa (алгебра), Doycisa (Algebra), Indonesisa (aljabar), Pilipinasa (alhebra), Arabisa (عِلْم الْجَبْر “ilm aljabr”, جَبْر “jabr”), Turkisa (cebir), Parsisa (جبر “jabr”), Swahilisa (aljebra)",,,,
alkali,root,n,TRUE,alkali,,,alkalo,álcali,,,,,,"Englisa (alkali), Espanisa (álcali), Fransesa (alcali), Doycisa (Alkali), Indonesisa (alkali), Pilipinasa (alkali), Arabisa (قَلَوِيّ “kalawiy”), Niponsa (アルカリ “arukari”), Turkisa (alkali), Hangusa (알칼리 “alkali”), Parsisa (قلیا “kaliya”), Swahilisa (alkali)",,,,
alkimi,root,n,TRUE,alchemy,,,"alĥemio, alkemio",alquimia,,,,,,"Doycisa (Alchemie), Englisa (alchemy), Espanisa (alquimia), Fransesa (alchimie), Rusisa (алхимия (alhimiya), Hindisa (कीमिया “kimiya”), Arabisa (كيمياء “kimiya”), Parsisa (کیمیا “kimiya”), Indonesisa (alkimia), Pilipinasa (alkimiya), Turkisa (alşimi)",,,,
alkoba,root,n,TRUE,"alcove, recess, niche",,,"alkovo, niĉo","nicho, hueco, rincón, hornacina",,,,,,"Arabisa (القبة ""alkuba""), Doycisa (Alkoven), Englisa (alcove), Fransesa (alcôve), Rusisa (альков ""alkov""), Pilipinasa (alkoba), Niponsa (アルコーブ ""arukobu"")",,,,
alkohol,root,n/f.oro.b,TRUE,alcohol; alcoholize,,reviewed,alkoholo; alkoholi,"alcohol; alcoholizar, alcoholizarse",,,,,,"Arabisa (كحول “kahul”), Doycisa (Alkohol), Englisa (alcohol), Espanisa (alcohol), Fransesa (alcool), Rusisa (алкоголь “alkogol”), Niponsa (アルコール “arukōru”), Hangusa (알코올 “alkool”), Hindisa (ऐल्कोहॉल “elkohol”), Parsisa (الکل “alkol”), Turkisa (alkol), Indonesisa (alkohol), Pilipinasa (alkohol)",leferesmi,,,
almari,root,n,TRUE,"cabinet, cupboard",,,ŝranko,armario,,,,,,"Espanisa (armario), Indonesisa (lemari), Hindisa (अलमारी ""almari"")",,,,
almasi,root,n,TRUE,diamond,,reviewed,diamanto,diamante,,,,,,"Rusisa (алмаз “almaz”), Arabisa (ألماس “ʾalmās”), Swahilisa (almasi), Parsisa (الماس “almâs”), Turkisa (elmas)",leferesmi,,,
